Comment Links,Comments,Date in Datetime Format,Likes,Post Date,Post Time,Posts,Reblogs,Unnamed: 0,User Links,User Names
https://weibo.cn/comment/xF4R1wD9Z?uid=2049416047&rl=1#cmtfrm,0.0,2012-01-03,0.0,2012-01-03,23:56:59,:结婚的婚字，左边是女，右边是昏，那是女人昏头昏脑的才想着结的…哈哈乐气我了…,0.0,,https://weibo.cn/u/2049416047,LouisW_
https://weibo.cn/comment/xF4QOb0t7?uid=2356173423&rl=1#cmtfrm,0.0,2012-01-03,0.0,2012-01-03,23:56:27,:裸婚时代！刘易揚好男人…,0.0,,https://weibo.cn/u/2356173423,cherry--liujie
https://weibo.cn/comment/xF4QLtKjw?uid=2529862251&rl=1#cmtfrm,0.0,2012-01-03,0.0,2012-01-03,23:56:21,:(1/2)#微阅读#有个女生，爱上个男生，心甘情愿嫁给了他。没新房，就拿学生宿舍做婚居。没家具，就买二手货。没沙发，捡两个废轮胎冒充。女孩的姐姐在他们新婚时送了两床薄被，他们整整盖了34年。实际上这时男生已出人头地，可嫁了他的女生，出门还得挤公共汽车……这个女生叫周美青，嫁的男生叫,0.0,,https://weibo.cn/u/2529862251,huang1314hua520
https://weibo.cn/comment/xF4QKAWBb?uid=1914348232&rl=1#cmtfrm,0.0,2012-01-03,0.0,2012-01-03,23:56:19,:恋建立在爱的基础上，婚建立在房的基础上,0.0,,https://weibo.cn/u/1914348232,Mr丶巴扎嘿
https://weibo.cn/comment/xF4QBhtQf?uid=2140262084&rl=1#cmtfrm,0.0,2012-01-03,0.0,2012-01-03,23:55:56,:红色一定是最具存在感的色彩，在冬季如火焰一般点燃潮流的会不会是你身上的婚裙？抹胸款的高调与性感不可轻言驾驭，但傲人的身材如果只是被牢牢地包裹又是否心有不甘？来一条zac posen让你即刻成为这个季节的当红宝贝！ http://t.cn/SiNvQt,0.0,,https://weibo.cn/u/2140262084,英子啦啦
https://weibo.cn/comment/xF4Qtsfcz?uid=1372979040&rl=1#cmtfrm,0.0,2012-01-03,0.0,2012-01-03,23:55:38,:明年就要定婚了，,0.0,,https://weibo.cn/zhaoarfei,sky奋斗89
https://weibo.cn/comment/xF4QciZUo?uid=2173977385&rl=1#cmtfrm,8.0,2012-01-03,0.0,2012-01-03,23:54:57,:推荐我的摄影师朋友@浓眉加小眼 。我称陈弟兄，人称南哥。他有影棚，也善外景，服务耐心，价格真诚，而且凡我朋友转发一次都有10%折扣。各位有孩子的，结了婚的，快结婚的，要出专辑的，不要错过！,5.0,,https://weibo.cn/gabrielwangkaiyang,丹夫毅父
https://weibo.cn/comment/xF4QaEWrZ?uid=1508087723&rl=1#cmtfrm,0.0,2012-01-03,0.0,2012-01-03,23:54:51,:我的城市来了新市民！欢迎 @裸婚时代-姚笛 的入住。 欢迎各位亲入住我的城市。让我们一起幸福的生活。开始游戏http://t.cn/S2s0hg,0.0,,https://weibo.cn/u/1508087723,南湖街的凌晨三时-我想你
https://weibo.cn/comment/xF4Q7zcA4?uid=1957651363&rl=1#cmtfrm,1.0,2012-01-03,0.0,2012-01-03,23:54:46,:即使心里装满了另一个人，也要为了生活，为了到了年纪该结的婚而和另一个人在一起么？到底怎样才算真正的爱情？20岁的我现在这么问，也许到了30岁回头看看自己会觉得好笑，且让微博成为我们另一种形式的日记吧,0.0,,https://weibo.cn/u/1957651363,思念安宁
https://weibo.cn/comment/xF4Q7AbCe?uid=2291075334&rl=1#cmtfrm,2.0,2012-01-03,0.0,2012-01-03,23:54:46,:姊妹花~珊珊大婚,0.0,,https://weibo.cn/u/2291075334,Jane-Freeman
